timestamp, siteid, sensorid, value
Tue Jan 07 01:30:00 PST 2020,3,1,39
Tue Jan 07 01:30:00 PST 2020,3,2,6
Tue Jan 07 01:30:00 PST 2020,3,3,4
Tue Jan 07 01:30:00 PST 2020,4,1,9
Tue Jan 07 01:30:00 PST 2020,4,2,6
Tue Jan 07 01:30:00 PST 2020,4,3,51
Tue Jan 07 01:45:00 PST 2020,1,1,190
Tue Jan 07 01:45:00 PST 2020,1,2,6
Tue Jan 07 01:45:00 PST 2020,1,3,98
Tue Jan 07 01:45:00 PST 2020,2,1,5
Tue Jan 07 01:45:00 PST 2020,2,2,6
Tue Jan 07 01:45:00 PST 2020,2,3,84
Tue Jan 07 01:45:00 PST 2020,3,1,28
Tue Jan 07 01:45:00 PST 2020,3,2,#ERROR#
Tue Jan 07 01:45:00 PST 2020,3,3,42
Tue Jan 07 01:45:00 PST 2020,4,1,53
Tue Jan 07 01:45:00 PST 2020,4,2,6
Tue Jan 07 01:45:00 PST 2020,4,3,47
Tue Jan 07 02:00:00 PST 2020,1,1,97
Tue Jan 07 02:00:00 PST 2020,1,2,6
Tue Jan 07 02:00:00 PST 2020,1,3,72
Tue Jan 07 02:00:00 PST 2020,2,1,94
Tue Jan 07 02:00:00 PST 2020,2,2,6
Tue Jan 07 02:00:00 PST 2020,2,3,#NA#
Tue Jan 07 02:00:00 PST 2020,3,1,95
Tue Jan 07 02:00:00 PST 2020,3,2,6
Tue Jan 07 02:00:00 PST 2020,3,3,-16
Tue Jan 07 02:00:00 PST 2020,4,1,#ERROR#
Tue Jan 07 02:00:00 PST 2020,4,2,6
Tue Jan 07 02:00:00 PST 2020,4,3,51
Tue Jan 07 02:15:00 PST 2020,1,1,57
Tue Jan 07 02:15:00 PST 2020,1,2,7
Tue Jan 07 02:15:00 PST 2020,1,3,44
Tue Jan 07 02:15:00 PST 2020,2,1,55
Tue Jan 07 02:15:00 PST 2020,2,2,7
Tue Jan 07 02:15:00 PST 2020,2,3,9
Tue Jan 07 02:15:00 PST 2020,3,1,59
Tue Jan 07 02:15:00 PST 2020,3,2,7
Tue Jan 07 02:15:00 PST 2020,3,3,65
Tue Jan 07 02:15:00 PST 2020,4,1,55
Tue Jan 07 02:15:00 PST 2020,4,2,7
Tue Jan 07 02:15:00 PST 2020,4,3,47
Tue Jan 07 02:30:00 PST 2020,1,1,67
Tue Jan 07 02:30:00 PST 2020,1,2,7
Tue Jan 07 02:30:00 PST 2020,1,3,28
Tue Jan 07 02:30:00 PST 2020,2,1,91
Tue Jan 07 02:30:00 PST 2020,2,2,7
Tue Jan 07 02:30:00 PST 2020,2,3,100
Tue Jan 07 02:30:00 PST 2020,3,1,29
Tue Jan 07 02:30:00 PST 2020,3,2,7
Tue Jan 07 02:30:00 PST 2020,3,3,16
Tue Jan 07 02:30:00 PST 2020,4,1,3
Tue Jan 07 02:30:00 PST 2020,4,2,7
Tue Jan 07 02:30:00 PST 2020,4,3,50
Tue Jan 07 02:45:00 PST 2020,1,1,99
Tue Jan 07 02:45:00 PST 2020,1,2,7
Tue Jan 07 02:45:00 PST 2020,1,3,3
Tue Jan 07 02:45:00 PST 2020,2,1,53
Tue Jan 07 02:45:00 PST 2020,2,2,7
Tue Jan 07 02:45:00 PST 2020,2,3,33
Tue Jan 07 02:45:00 PST 2020,3,1,36
Tue Jan 07 02:45:00 PST 2020,3,2,7
Tue Jan 07 02:45:00 PST 2020,3,3,69
Tue Jan 07 02:45:00 PST 2020,4,1,62
Tue Jan 07 02:45:00 PST 2020,4,2,7
Tue Jan 07 02:45:00 PST 2020,4,3,#NA#
Tue Jan 07 03:00:00 PST 2020,1,1,21
Tue Jan 07 03:00:00 PST 2020,1,2,7
Tue Jan 07 03:00:00 PST 2020,1,3,98
Tue Jan 07 03:00:00 PST 2020,2,1,66
Tue Jan 07 03:00:00 PST 2020,2,2,7
Tue Jan 07 03:00:00 PST 2020,2,3,12
Tue Jan 07 03:00:00 PST 2020,3,1,85
Tue Jan 07 03:00:00 PST 2020,3,2,7
Tue Jan 07 03:00:00 PST 2020,3,3,71
Tue Jan 07 03:00:00 PST 2020,4,1,95
Tue Jan 07 03:00:00 PST 2020,4,2,7
Tue Jan 07 03:00:00 PST 2020,4,3,40
Tue Jan 07 03:15:00 PST 2020,1,1,45
Tue Jan 07 03:15:00 PST 2020,1,2,7
Tue Jan 07 03:15:00 PST 2020,1,3,44
Tue Jan 07 03:15:00 PST 2020,2,1,96
Tue Jan 07 03:15:00 PST 2020,2,2,7
Tue Jan 07 03:15:00 PST 2020,2,3,75
Tue Jan 07 03:15:00 PST 2020,3,1,68
Tue Jan 07 03:15:00 PST 2020,3,2,103
Tue Jan 07 03:15:00 PST 2020,3,3,69
Tue Jan 07 03:15:00 PST 2020,4,1,71
Tue Jan 07 03:15:00 PST 2020,4,2,7
Tue Jan 07 03:15:00 PST 2020,4,3,93
Tue Jan 07 03:30:00 PST 2020,1,1,-38
Tue Jan 07 03:30:00 PST 2020,1,2,8
Tue Jan 07 03:30:00 PST 2020,1,3,8
Tue Jan 07 03:30:00 PST 2020,2,1,49
Tue Jan 07 03:30:00 PST 2020,2,2,8
Tue Jan 07 03:30:00 PST 2020,2,3,94
Tue Jan 07 03:30:00 PST 2020,3,1,19
Tue Jan 07 03:30:00 PST 2020,3,2,8
Tue Jan 07 03:30:00 PST 2020,3,3,80
Tue Jan 07 03:30:00 PST 2020,4,1,65
Tue Jan 07 03:30:00 PST 2020,4,2,8
Tue Jan 07 03:30:00 PST 2020,4,3,98
Tue Jan 07 03:45:00 PST 2020,1,1,23
Tue Jan 07 03:45:00 PST 2020,1,2,8
Tue Jan 07 03:45:00 PST 2020,1,3,21
Tue Jan 07 03:45:00 PST 2020,2,1,38
Tue Jan 07 03:45:00 PST 2020,2,2,8
Tue Jan 07 03:45:00 PST 2020,2,3,12
Tue Jan 07 03:45:00 PST 2020,3,1,12
Tue Jan 07 03:45:00 PST 2020,3,2,8
Tue Jan 07 03:45:00 PST 2020,3,3,83
Tue Jan 07 03:45:00 PST 2020,4,1,75
Tue Jan 07 03:45:00 PST 2020,4,2,8
Tue Jan 07 03:45:00 PST 2020,4,3,63
Tue Jan 07 04:00:00 PST 2020,1,1,#ERROR#
Tue Jan 07 04:00:00 PST 2020,1,2,8
Tue Jan 07 04:00:00 PST 2020,1,3,65
Tue Jan 07 04:00:00 PST 2020,2,1,71
Tue Jan 07 04:00:00 PST 2020,2,2,8
Tue Jan 07 04:00:00 PST 2020,2,3,91
Tue Jan 07 04:00:00 PST 2020,3,1,52
Tue Jan 07 04:00:00 PST 2020,3,2,8
Tue Jan 07 04:00:00 PST 2020,3,3,51
Tue Jan 07 04:00:00 PST 2020,4,1,-18
Tue Jan 07 04:00:00 PST 2020,4,2,8
Tue Jan 07 04:00:00 PST 2020,4,3,86
Tue Jan 07 04:15:00 PST 2020,1,1,42
Tue Jan 07 04:15:00 PST 2020,1,2,8
Tue Jan 07 04:15:00 PST 2020,1,3,12
Tue Jan 07 04:15:00 PST 2020,2,1,100
Tue Jan 07 04:15:00 PST 2020,2,2,8
Tue Jan 07 04:15:00 PST 2020,2,3,61
Tue Jan 07 04:15:00 PST 2020,3,1,68
Tue Jan 07 04:15:00 PST 2020,3,2,8
Tue Jan 07 04:15:00 PST 2020,3,3,96
Tue Jan 07 04:15:00 PST 2020,4,1,88
Tue Jan 07 04:15:00 PST 2020,4,2,8
Tue Jan 07 04:15:00 PST 2020,4,3,94
Tue Jan 07 04:30:00 PST 2020,1,1,76
Tue Jan 07 04:30:00 PST 2020,1,2,8
Tue Jan 07 04:30:00 PST 2020,1,3,15
Tue Jan 07 04:30:00 PST 2020,2,1,18
Tue Jan 07 04:30:00 PST 2020,2,2,8
Tue Jan 07 04:30:00 PST 2020,2,3,59
Tue Jan 07 04:30:00 PST 2020,3,1,92
Tue Jan 07 04:30:00 PST 2020,3,2,#ERROR#
Tue Jan 07 04:30:00 PST 2020,3,3,82
Tue Jan 07 04:30:00 PST 2020,4,1,31
Tue Jan 07 04:30:00 PST 2020,4,2,8
Tue Jan 07 04:30:00 PST 2020,4,3,9
Tue Jan 07 04:45:00 PST 2020,1,1,47
Tue Jan 07 04:45:00 PST 2020,1,2,9
Tue Jan 07 04:45:00 PST 2020,1,3,23
Tue Jan 07 04:45:00 PST 2020,2,1,100
Tue Jan 07 04:45:00 PST 2020,2,2,9
Tue Jan 07 04:45:00 PST 2020,2,3,11
Tue Jan 07 04:45:00 PST 2020,3,1,193
Tue Jan 07 04:45:00 PST 2020,3,2,9
Tue Jan 07 04:45:00 PST 2020,3,3,14
Tue Jan 07 04:45:00 PST 2020,4,1,84
Tue Jan 07 04:45:00 PST 2020,4,2,9
Tue Jan 07 04:45:00 PST 2020,4,3,38
Tue Jan 07 05:00:00 PST 2020,1,1,85
Tue Jan 07 05:00:00 PST 2020,1,2,9
Tue Jan 07 05:00:00 PST 2020,1,3,#ERROR#
Tue Jan 07 05:00:00 PST 2020,2,1,82
Tue Jan 07 05:00:00 PST 2020,2,2,9
Tue Jan 07 05:00:00 PST 2020,2,3,68
Tue Jan 07 05:00:00 PST 2020,3,1,1
Tue Jan 07 05:00:00 PST 2020,3,2,9
Tue Jan 07 05:00:00 PST 2020,3,3,92
Tue Jan 07 05:00:00 PST 2020,4,1,48
Tue Jan 07 05:00:00 PST 2020,4,2,9
Tue Jan 07 05:00:00 PST 2020,4,3,9
Tue Jan 07 05:15:00 PST 2020,1,1,48
Tue Jan 07 05:15:00 PST 2020,1,2,9
Tue Jan 07 05:15:00 PST 2020,1,3,5
Tue Jan 07 05:15:00 PST 2020,2,1,95
Tue Jan 07 05:15:00 PST 2020,2,2,9
Tue Jan 07 05:15:00 PST 2020,2,3,24
Tue Jan 07 05:15:00 PST 2020,3,1,70
Tue Jan 07 05:15:00 PST 2020,3,2,9
Tue Jan 07 05:15:00 PST 2020,3,3,60
Tue Jan 07 05:15:00 PST 2020,4,1,39
Tue Jan 07 05:15:00 PST 2020,4,2,9
Tue Jan 07 05:15:00 PST 2020,4,3,89
Tue Jan 07 05:30:00 PST 2020,1,1,#ERROR#
Tue Jan 07 05:30:00 PST 2020,1,2,9
Tue Jan 07 05:30:00 PST 2020,1,3,83
Tue Jan 07 05:30:00 PST 2020,2,1,44
Tue Jan 07 05:30:00 PST 2020,2,2,9
Tue Jan 07 05:30:00 PST 2020,2,3,70
Tue Jan 07 05:30:00 PST 2020,3,1,48
Tue Jan 07 05:30:00 PST 2020,3,2,#ERROR#
Tue Jan 07 05:30:00 PST 2020,3,3,#NA#
Tue Jan 07 05:30:00 PST 2020,4,1,16
Tue Jan 07 05:30:00 PST 2020,4,2,9
Tue Jan 07 05:30:00 PST 2020,4,3,66
Tue Jan 07 05:45:00 PST 2020,1,1,2
Tue Jan 07 05:45:00 PST 2020,1,2,9
Tue Jan 07 05:45:00 PST 2020,1,3,66
Tue Jan 07 05:45:00 PST 2020,2,1,65
Tue Jan 07 05:45:00 PST 2020,2,2,9
Tue Jan 07 05:45:00 PST 2020,2,3,#ERROR#
Tue Jan 07 05:45:00 PST 2020,3,1,54
Tue Jan 07 05:45:00 PST 2020,3,2,9
Tue Jan 07 05:45:00 PST 2020,3,3,-13
Tue Jan 07 05:45:00 PST 2020,4,1,20
Tue Jan 07 05:45:00 PST 2020,4,2,9
Tue Jan 07 05:45:00 PST 2020,4,3,92
Tue Jan 07 06:00:00 PST 2020,1,1,#NA#
Tue Jan 07 06:00:00 PST 2020,1,2,10
Tue Jan 07 06:00:00 PST 2020,1,3,12
Tue Jan 07 06:00:00 PST 2020,2,1,73
Tue Jan 07 06:00:00 PST 2020,2,2,10
Tue Jan 07 06:00:00 PST 2020,2,3,75
Tue Jan 07 06:00:00 PST 2020,3,1,63
Tue Jan 07 06:00:00 PST 2020,3,2,10
Tue Jan 07 06:00:00 PST 2020,3,3,12
Tue Jan 07 06:00:00 PST 2020,4,1,49
Tue Jan 07 06:00:00 PST 2020,4,2,10
Tue Jan 07 06:00:00 PST 2020,4,3,38
Tue Jan 07 06:15:00 PST 2020,1,1,56
Tue Jan 07 06:15:00 PST 2020,1,2,10
Tue Jan 07 06:15:00 PST 2020,1,3,1
Tue Jan 07 06:15:00 PST 2020,2,1,5
Tue Jan 07 06:15:00 PST 2020,2,2,156
Tue Jan 07 06:15:00 PST 2020,2,3,62
Tue Jan 07 06:15:00 PST 2020,3,1,21
Tue Jan 07 06:15:00 PST 2020,3,2,10
Tue Jan 07 06:15:00 PST 2020,3,3,5
Tue Jan 07 06:15:00 PST 2020,4,1,64
Tue Jan 07 06:15:00 PST 2020,4,2,10
Tue Jan 07 06:15:00 PST 2020,4,3,96
Tue Jan 07 06:30:00 PST 2020,1,1,99
Tue Jan 07 06:30:00 PST 2020,1,2,10
Tue Jan 07 06:30:00 PST 2020,1,3,51
Tue Jan 07 06:30:00 PST 2020,2,1,92
Tue Jan 07 06:30:00 PST 2020,2,2,10
Tue Jan 07 06:30:00 PST 2020,2,3,1
Tue Jan 07 06:30:00 PST 2020,3,1,86
Tue Jan 07 06:30:00 PST 2020,3,2,10
Tue Jan 07 06:30:00 PST 2020,3,3,97
Tue Jan 07 06:30:00 PST 2020,4,1,26
Tue Jan 07 06:30:00 PST 2020,4,2,10
Tue Jan 07 06:30:00 PST 2020,4,3,85
Tue Jan 07 06:45:00 PST 2020,1,1,26
Tue Jan 07 06:45:00 PST 2020,1,2,10
Tue Jan 07 06:45:00 PST 2020,1,3,40
Tue Jan 07 06:45:00 PST 2020,2,1,32
Tue Jan 07 06:45:00 PST 2020,2,2,10
Tue Jan 07 06:45:00 PST 2020,2,3,4
Tue Jan 07 06:45:00 PST 2020,3,1,67
Tue Jan 07 06:45:00 PST 2020,3,2,101
Tue Jan 07 06:45:00 PST 2020,3,3,-57
Tue Jan 07 06:45:00 PST 2020,4,1,194
Tue Jan 07 06:45:00 PST 2020,4,2,10
Tue Jan 07 06:45:00 PST 2020,4,3,-7
Tue Jan 07 07:00:00 PST 2020,1,1,11
Tue Jan 07 07:00:00 PST 2020,1,2,10
Tue Jan 07 07:00:00 PST 2020,1,3,69
Tue Jan 07 07:00:00 PST 2020,2,1,91
Tue Jan 07 07:00:00 PST 2020,2,2,10
Tue Jan 07 07:00:00 PST 2020,2,3,85
Tue Jan 07 07:00:00 PST 2020,3,1,83
Tue Jan 07 07:00:00 PST 2020,3,2,10
Tue Jan 07 07:00:00 PST 2020,3,3,9
Tue Jan 07 07:00:00 PST 2020,4,1,73
Tue Jan 07 07:00:00 PST 2020,4,2,10
Tue Jan 07 07:00:00 PST 2020,4,3,16
Tue Jan 07 07:15:00 PST 2020,1,1,62
Tue Jan 07 07:15:00 PST 2020,1,2,11
Tue Jan 07 07:15:00 PST 2020,1,3,63
Tue Jan 07 07:15:00 PST 2020,2,1,72
Tue Jan 07 07:15:00 PST 2020,2,2,11
Tue Jan 07 07:15:00 PST 2020,2,3,#NA#
Tue Jan 07 07:15:00 PST 2020,3,1,51
Tue Jan 07 07:15:00 PST 2020,3,2,11
Tue Jan 07 07:15:00 PST 2020,3,3,38
Tue Jan 07 07:15:00 PST 2020,4,1,73
Tue Jan 07 07:15:00 PST 2020,4,2,11
Tue Jan 07 07:15:00 PST 2020,4,3,79
Tue Jan 07 07:30:00 PST 2020,1,1,56
Tue Jan 07 07:30:00 PST 2020,1,2,11
Tue Jan 07 07:30:00 PST 2020,1,3,77
Tue Jan 07 07:30:00 PST 2020,2,1,43
Tue Jan 07 07:30:00 PST 2020,2,2,11
Tue Jan 07 07:30:00 PST 2020,2,3,40
Tue Jan 07 07:30:00 PST 2020,3,1,69
Tue Jan 07 07:30:00 PST 2020,3,2,11
Tue Jan 07 07:30:00 PST 2020,3,3,26
Tue Jan 07 07:30:00 PST 2020,4,1,11
Tue Jan 07 07:30:00 PST 2020,4,2,138
Tue Jan 07 07:30:00 PST 2020,4,3,26
Tue Jan 07 07:45:00 PST 2020,1,1,5
Tue Jan 07 07:45:00 PST 2020,1,2,11
Tue Jan 07 07:45:00 PST 2020,1,3,19
Tue Jan 07 07:45:00 PST 2020,2,1,63
Tue Jan 07 07:45:00 PST 2020,2,2,11
Tue Jan 07 07:45:00 PST 2020,2,3,73
Tue Jan 07 07:45:00 PST 2020,3,1,97
Tue Jan 07 07:45:00 PST 2020,3,2,11
Tue Jan 07 07:45:00 PST 2020,3,3,65
Tue Jan 07 07:45:00 PST 2020,4,1,3
Tue Jan 07 07:45:00 PST 2020,4,2,11
Tue Jan 07 07:45:00 PST 2020,4,3,16
Tue Jan 07 08:00:00 PST 2020,1,1,64
Tue Jan 07 08:00:00 PST 2020,1,2,11
Tue Jan 07 08:00:00 PST 2020,1,3,83
Tue Jan 07 08:00:00 PST 2020,2,1,47
Tue Jan 07 08:00:00 PST 2020,2,2,11
Tue Jan 07 08:00:00 PST 2020,2,3,2
Tue Jan 07 08:00:00 PST 2020,3,1,54
Tue Jan 07 08:00:00 PST 2020,3,2,11
Tue Jan 07 08:00:00 PST 2020,3,3,91
Tue Jan 07 08:00:00 PST 2020,4,1,90
Tue Jan 07 08:00:00 PST 2020,4,2,11
Tue Jan 07 08:00:00 PST 2020,4,3,29
Tue Jan 07 08:15:00 PST 2020,1,1,2
Tue Jan 07 08:15:00 PST 2020,1,2,11
Tue Jan 07 08:15:00 PST 2020,1,3,41
Tue Jan 07 08:15:00 PST 2020,2,1,86
Tue Jan 07 08:15:00 PST 2020,2,2,11
Tue Jan 07 08:15:00 PST 2020,2,3,39
Tue Jan 07 08:15:00 PST 2020,3,1,22
Tue Jan 07 08:15:00 PST 2020,3,2,11
Tue Jan 07 08:15:00 PST 2020,3,3,93
Tue Jan 07 08:15:00 PST 2020,4,1,17
Tue Jan 07 08:15:00 PST 2020,4,2,11
Tue Jan 07 08:15:00 PST 2020,4,3,72
Tue Jan 07 08:30:00 PST 2020,1,1,51
Tue Jan 07 08:30:00 PST 2020,1,2,12
Tue Jan 07 08:30:00 PST 2020,1,3,51
Tue Jan 07 08:30:00 PST 2020,2,1,63
Tue Jan 07 08:30:00 PST 2020,2,2,12
Tue Jan 07 08:30:00 PST 2020,2,3,50
Tue Jan 07 08:30:00 PST 2020,3,1,41
Tue Jan 07 08:30:00 PST 2020,3,2,12
Tue Jan 07 08:30:00 PST 2020,3,3,46
Tue Jan 07 08:30:00 PST 2020,4,1,11
Tue Jan 07 08:30:00 PST 2020,4,2,12
Tue Jan 07 08:30:00 PST 2020,4,3,73
Tue Jan 07 08:45:00 PST 2020,1,1,38
Tue Jan 07 08:45:00 PST 2020,1,2,12
Tue Jan 07 08:45:00 PST 2020,1,3,94
Tue Jan 07 08:45:00 PST 2020,2,1,80
Tue Jan 07 08:45:00 PST 2020,2,2,173
Tue Jan 07 08:45:00 PST 2020,2,3,7
Tue Jan 07 08:45:00 PST 2020,3,1,46
Tue Jan 07 08:45:00 PST 2020,3,2,12
Tue Jan 07 08:45:00 PST 2020,3,3,82
Tue Jan 07 08:45:00 PST 2020,4,1,89
Tue Jan 07 08:45:00 PST 2020,4,2,12
Tue Jan 07 08:45:00 PST 2020,4,3,71
Tue Jan 07 09:00:00 PST 2020,1,1,53
Tue Jan 07 09:00:00 PST 2020,1,2,12
Tue Jan 07 09:00:00 PST 2020,1,3,63
Tue Jan 07 09:00:00 PST 2020,2,1,47
Tue Jan 07 09:00:00 PST 2020,2,2,12
Tue Jan 07 09:00:00 PST 2020,2,3,43
Tue Jan 07 09:00:00 PST 2020,3,1,78
Tue Jan 07 09:00:00 PST 2020,3,2,12
Tue Jan 07 09:00:00 PST 2020,3,3,60
Tue Jan 07 09:00:00 PST 2020,4,1,75
Tue Jan 07 09:00:00 PST 2020,4,2,12
Tue Jan 07 09:00:00 PST 2020,4,3,94
Tue Jan 07 09:15:00 PST 2020,1,1,-4
Tue Jan 07 09:15:00 PST 2020,1,2,12
Tue Jan 07 09:15:00 PST 2020,1,3,45
Tue Jan 07 09:15:00 PST 2020,2,1,82
Tue Jan 07 09:15:00 PST 2020,2,2,12
Tue Jan 07 09:15:00 PST 2020,2,3,75
Tue Jan 07 09:15:00 PST 2020,3,1,36
Tue Jan 07 09:15:00 PST 2020,3,2,12
Tue Jan 07 09:15:00 PST 2020,3,3,33
Tue Jan 07 09:15:00 PST 2020,4,1,72
Tue Jan 07 09:15:00 PST 2020,4,2,12
Tue Jan 07 09:15:00 PST 2020,4,3,74
Tue Jan 07 09:30:00 PST 2020,1,1,39
Tue Jan 07 09:30:00 PST 2020,1,2,12
Tue Jan 07 09:30:00 PST 2020,1,3,72
Tue Jan 07 09:30:00 PST 2020,2,1,52
Tue Jan 07 09:30:00 PST 2020,2,2,12
Tue Jan 07 09:30:00 PST 2020,2,3,6
Tue Jan 07 09:30:00 PST 2020,3,1,56
Tue Jan 07 09:30:00 PST 2020,3,2,12
Tue Jan 07 09:30:00 PST 2020,3,3,20
Tue Jan 07 09:30:00 PST 2020,4,1,75
Tue Jan 07 09:30:00 PST 2020,4,2,12
Tue Jan 07 09:30:00 PST 2020,4,3,-50
Tue Jan 07 09:45:00 PST 2020,1,1,82
Tue Jan 07 09:45:00 PST 2020,1,2,167
Tue Jan 07 09:45:00 PST 2020,1,3,11
Tue Jan 07 09:45:00 PST 2020,2,1,16
Tue Jan 07 09:45:00 PST 2020,2,2,13
Tue Jan 07 09:45:00 PST 2020,2,3,8
Tue Jan 07 09:45:00 PST 2020,3,1,34
Tue Jan 07 09:45:00 PST 2020,3,2,13
Tue Jan 07 09:45:00 PST 2020,3,3,84
Tue Jan 07 09:45:00 PST 2020,4,1,6
Tue Jan 07 09:45:00 PST 2020,4,2,13
Tue Jan 07 09:45:00 PST 2020,4,3,#NA#
Tue Jan 07 10:00:00 PST 2020,1,1,83
Tue Jan 07 10:00:00 PST 2020,1,2,13
Tue Jan 07 10:00:00 PST 2020,1,3,15
Tue Jan 07 10:00:00 PST 2020,2,1,69
Tue Jan 07 10:00:00 PST 2020,2,2,13
Tue Jan 07 10:00:00 PST 2020,2,3,17
Tue Jan 07 10:00:00 PST 2020,3,1,28
Tue Jan 07 10:00:00 PST 2020,3,2,13
Tue Jan 07 10:00:00 PST 2020,3,3,29
Tue Jan 07 10:00:00 PST 2020,4,1,40
Tue Jan 07 10:00:00 PST 2020,4,2,13
Tue Jan 07 10:00:00 PST 2020,4,3,70
Tue Jan 07 10:15:00 PST 2020,1,1,29
Tue Jan 07 10:15:00 PST 2020,1,2,#ERROR#
Tue Jan 07 10:15:00 PST 2020,1,3,#ERROR#
Tue Jan 07 10:15:00 PST 2020,2,1,11
Tue Jan 07 10:15:00 PST 2020,2,2,13
Tue Jan 07 10:15:00 PST 2020,2,3,-77
Tue Jan 07 10:15:00 PST 2020,3,1,18
Tue Jan 07 10:15:00 PST 2020,3,2,13
Tue Jan 07 10:15:00 PST 2020,3,3,33
Tue Jan 07 10:15:00 PST 2020,4,1,39
Tue Jan 07 10:15:00 PST 2020,4,2,13
Tue Jan 07 10:15:00 PST 2020,4,3,3
Tue Jan 07 10:30:00 PST 2020,1,1,80
Tue Jan 07 10:30:00 PST 2020,1,2,13
Tue Jan 07 10:30:00 PST 2020,1,3,51
Tue Jan 07 10:30:00 PST 2020,2,1,80
Tue Jan 07 10:30:00 PST 2020,2,2,13
Tue Jan 07 10:30:00 PST 2020,2,3,#ERROR#
Tue Jan 07 10:30:00 PST 2020,3,1,#NA#
Tue Jan 07 10:30:00 PST 2020,3,2,13
Tue Jan 07 10:30:00 PST 2020,3,3,45
